"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"LAKSHADWEEP","KIDNAPPING and ABDUCTION",0,0,0,0,0,0,0,1,0,0,0,0
"PUDUCHERRY","KIDNAPPING and ABDUCTION",4,10,18,10,6,18,20,17,18,17,12,19
"TOTAL (UTs)","KIDNAPPING and ABDUCTION",1698,1401,1216,1290,1669,1551,1782,1673,2622,3293,3864,4100
"TOTAL (ALL-INDIA)","KIDNAPPING and ABDUCTION",22487,21850,19992,23327,22832,23991,27561,30261,33860,38440,44664,47592
"ANDHRA PRADESH","DACOITY",214,197,176,199,250,178,170,110,102,134,126,131
"ARUNACHAL PRADESH","DACOITY",22,22,37,30,23,28,16,14,20,15,13,20
"ASSAM","DACOITY",532,473,471,360,334,319,299,312,251,248,305,266
"BIHAR","DACOITY",1291,1289,1221,1319,1212,1001,686,686,654,644,556,540
"CHHATTISGARH","DACOITY",87,144,140,106,204,160,115,124,134,122,68,64
"GOA","DACOITY",7,5,5,5,2,7,7,3,4,2,2,6
"GUJARAT","DACOITY",327,804,338,360,282,290,245,256,246,186,221,287
"HARYANA","DACOITY",77,61,63,52,88,104,139,120,153,147,167,204
"HIMACHAL PRADESH","DACOITY",4,0,8,1,6,7,5,6,4,2,1,1
"JAMMU & KASHMIR","DACOITY",24,42,23,28,13,10,18,3,1,6,14,6
"JHARKHAND","DACOITY",636,580,702,580,592,536,524,416,412,335,309,284
"KARNATAKA","DACOITY",178,178,220,177,208,202,178,270,273,272,214,211
"KERALA","DACOITY",176,137,142,129,110,129,121,91,112,74,71,72
"MADHYA PRADESH","DACOITY",166,136,153,147,147,151,143,160,117,110,118,107
"MAHARASHTRA","DACOITY",529,548,514,629,641,663,716,811,780,778,773,793
"MANIPUR","DACOITY",20,3,3,2,4,2,3,1,1,0,1,8
"MEGHALAYA","DACOITY",97,64,83,91,81,57,55,63,64,42,49,52
"MIZORAM","DACOITY",3,5,5,10,3,7,0,4,2,3,1,2
"NAGALAND","DACOITY",11,21,19,14,12,16,7,6,8,3,7,1
"ODISHA","DACOITY",199,246,178,238,184,239,247,305,380,346,417,402
"PUNJAB","DACOITY",45,50,30,17,27,35,37,40,38,65,28,48
"RAJASTHAN","DACOITY",60,47,36,58,41,37,71,64,53,37,28,31
"SIKKIM","DACOITY",0,0,2,0,2,0,0,1,0,1,0,0
"TAMIL NADU","DACOITY",158,176,95,72,73,95,88,100,97,85,101,97
"TRIPURA","DACOITY",26,29,36,27,22,18,14,13,7,16,11,7
"UTTAR PRADESH","DACOITY",905,552,317,378,286,218,437,313,365,337,379,322
"UTTARAKHAND","DACOITY",32,32,26,37,48,31,46,16,35,12,13,29
"WEST BENGAL","DACOITY",274,204,217,212,211,177,146,184,214,288,236,279
"TOTAL (STATES)","DACOITY",6100,6045,5260,5278,5106,4717,4533,4492,4527,4310,4229,4270
"A & N ISLANDS","DACOITY",0,1,2,0,0,0,5,0,0,1,1,5
"CHANDIGARH","DACOITY",5,1,3,0,0,1,2,1,4,5,6,3
"D & N HAVELI","DACOITY",0,3,4,3,3,5,1,1,9,2,7,2
"DAMAN & DIU","DACOITY",0,2,4,0,4,8,3,2,0,6,4,1
"DELHI","DACOITY",48,47,28,30,27,14,34,24,36,32,33,28
"LAKSHADWEEP","DACOITY",0,0,0,0,0,0,0,0,3,0,0,0
"PUDUCHERRY","DACOITY",1,2,2,0,1,2,1,10,7,2,5,5
"TOTAL (UTs)","DACOITY",54,56,43,33,35,30,46,38,59,48,56,44
"TOTAL (ALL-INDIA)","DACOITY",6154,6101,5303,5311,5141,4747,4579,4530,4586,4358,4285,4314
"ANDHRA PRADESH","PREPARATION AND ASSEMBLY FOR DACOITY",9,3,5,2,4,3,6,11,27,2,7,1
"ARUNACHAL PRADESH","PREPARATION AND ASSEMBLY FOR DACOITY",2,0,0,2,0,0,0,0,0,0,0,0
"ASSAM","PREPARATION AND ASSEMBLY FOR DACOITY",14,18,26,31,22,12,12,74,21,12,4,7
"BIHAR","PREPARATION AND ASSEMBLY FOR DACOITY",147,141,120,145,165,140,78,60,64,46,105,54
"CHHATTISGARH","PREPARATION AND ASSEMBLY FOR DACOITY",19,6,14,8,25,24,13,17,16,15,7,4
"GOA","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","PREPARATION AND ASSEMBLY FOR DACOITY",19,12,14,15,15,12,10,14,11,18,24,19
"HARYANA","PREPARATION AND ASSEMBLY FOR DACOITY",141,162,190,145,138,224,266,257,297,248,176,176
"HIMACHAL PRADESH","PREPARATION AND ASSEMBLY FOR DACOITY",0,1,0,0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"JHARKHAND","PREPARATION AND ASSEMBLY FOR DACOITY",48,55,37,55,49,45,40,50,53,19,40,33
"KARNATAKA","PREPARATION AND ASSEMBLY FOR DACOITY",36,66,65,109,119,247,242,248,346,300,399,536
"KERALA","PREPARATION AND ASSEMBLY FOR DACOITY",13,4,19,15,158,125,157,267,266,221,245,289
"MADHYA PRADESH","PREPARATION AND ASSEMBLY FOR DACOITY",130,142,141,134,130,121,109,124,156,110,117,127
"MAHARASHTRA","PREPARATION AND ASSEMBLY FOR DACOITY",328,271,249,315,307,323,405,274,287,285,291,322
"MANIPUR","PREPARATION AND ASSEMBLY FOR DACOITY",17,8,0,2,0,27,146,212,188,196,154,171
"MEGHALAYA","PREPARATION AND ASSEMBLY FOR DACOITY",3,2,1,2,1,4,1,0,1,1,0,1
